league_trophies,fa_trophies,efl_trophies,wins,losses,draws,name,rank
3,7,1,511,182,245,Arsenal,2
0,0,0,16,24,12,Bournemouth,10
0,0,0,19,51,20,Burnley,15
4,6,4,497,202,239,Chelsea,1
0,0,0,78,135,75,Crystal Palace,14
0,1,0,337,329,272,Everton,8
0,0,0,35,88,43,Hull City,19
1,0,2,121,163,114,Leicester City,16
0,2,4,465,237,236,Liverpool,3
2,1,2,313,251,184,Manchester City,4
13,4,3,591,147,200,Manchester United,6
0,0,1,163,225,162,Middlesborough,13
0,0,0,214,276,182,Southampton,12
0,0,0,103,125,90,Stoke City,9
0,0,0,150,279,155,Sunderland,18
0,0,1,64,85,55,Swansea City,20
0,0,2,381,312,245,Tottenham Hotspur,5
0,0,0,28,69,31,Watford,11
0,0,0,99,184,111,West Bromwich Albion,7
0,0,0,256,323,203,West Ham United,17
