total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,Player_pid
0,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0.0,1
44,1260,0,0,4,14,1,0,0,2,0,37,409,261.4,0.0,0.0,26.3,2
59,1170,2,0,4,10,0,0,0,2,0,0,493,378.8,8.6,101.0,49.0,3
0,0,0,0,0,0,0,0,0,0,0,0,265,0.0,0.0,0.0,0.0,4
3,165,0,0,0,2,0,0,0,1,0,0,244,23.0,9.2,4.0,3.6,5
47,990,0,2,4,11,0,0,0,0,0,0,541,162.4,176.1,158.0,49.5,6
7,137,0,1,0,1,0,0,0,1,0,0,69,53.0,68.7,16.0,13.7,7
1,15,0,0,0,0,0,0,0,0,0,0,11,1.0,1.4,0.0,0.2,8
2,82,0,0,0,1,0,0,0,0,0,0,178,19.4,2.0,0.0,2.1,9
45,1153,0,1,4,13,0,0,0,1,0,0,511,218.8,111.4,65.0,39.6,10
26,810,1,0,2,12,0,0,0,3,0,0,70,238.4,4.7,31.0,27.5,11
110,1178,11,5,4,13,0,0,1,3,0,0,690,573.2,552.8,679.0,180.8,12
74,1091,6,3,5,12,0,0,1,0,0,0,316,365.4,212.1,584.0,115.7,13
64,1066,4,3,3,10,0,0,0,0,0,0,783,316.0,581.7,363.0,126.1,14
38,618,2,2,4,5,0,0,0,2,0,0,259,198.2,221.7,89.0,50.8,15
10,231,0,1,0,5,0,0,0,1,0,0,558,30.4,72.0,103.0,20.4,16
21,810,0,0,3,14,0,0,0,3,0,0,18,79.8,265.0,126.0,46.6,17
40,553,2,3,1,6,0,0,0,0,0,0,186,192.2,193.1,254.0,64.1,18
0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,19
20,821,0,0,2,10,0,0,0,3,0,0,246,118.8,129.2,36.0,28.5,20
31,561,0,3,4,7,0,0,0,1,0,0,150,102.0,195.0,174.0,47.1,21
18,450,0,1,1,8,0,0,0,0,0,0,134,74.0,76.4,42.0,19.1,22
0,0,0,0,0,0,0,0,0,0,0,0,175,0.0,0.0,0.0,0.0,23
22,689,1,0,2,7,0,0,0,2,1,0,0,133.4,135.3,47.0,31.4,24
30,130,3,2,0,0,0,0,0,0,0,0,629,119.8,48.4,152.0,31.8,25
0,0,0,0,0,0,0,0,0,0,0,0,164,0.0,0.0,0.0,0.0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28
41,1080,0,0,3,19,0,1,0,1,0,35,281,256.8,0.0,0.0,25.6,29
8,180,0,0,1,3,0,0,0,1,0,5,31,34.4,0.0,0.0,3.5,30
36,1260,0,0,4,22,0,0,0,3,0,0,462,333.6,130.2,71.0,53.7,31
54,1260,2,0,4,22,0,0,0,2,0,0,443,458.6,27.4,182.0,66.8,32
47,1080,1,1,4,16,0,0,0,1,0,0,491,241.2,222.7,108.0,57.3,33
43,1170,1,3,3,22,0,0,0,5,0,0,297,261.2,170.8,111.0,54.4,34
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,35
25,285,2,0,1,8,0,0,0,0,0,0,232,158.2,14.8,97.0,27.0,36
34,1213,0,2,4,22,0,0,0,3,1,0,188,167.8,171.8,106.0,44.2,37
1,10,0,0,0,0,0,0,0,0,0,0,245,0.0,0.0,0.0,0.0,38
19,810,0,0,2,14,0,0,0,1,0,0,385,130.8,119.5,33.0,28.3,39
0,0,0,0,0,0,0,0,0,0,0,0,84,0.0,0.0,0.0,0.0,40
0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,41
52,711,3,4,3,13,0,0,0,1,0,0,217,224.6,178.9,183.0,58.7,42
28,573,2,0,2,9,0,0,0,3,0,0,331,144.2,90.6,102.0,33.7,43
4,95,0,0,0,0,0,0,0,1,0,0,155,18.0,5.8,53.0,7.3,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45
22,730,0,0,3,12,0,0,0,0,0,0,184,78.2,224.5,180.0,48.2,46
2,80,0,0,0,3,0,0,0,0,0,0,0,7.0,14.3,4.0,2.5,47
40,973,2,1,3,19,0,0,0,1,0,0,321,185.6,135.7,311.0,63.3,48
49,969,5,1,6,15,0,0,0,0,0,0,165,189.0,110.5,359.0,64.5,49
0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,50
6,60,0,1,0,2,0,0,0,0,0,0,124,24.2,11.8,17.0,5.3,51
13,181,0,1,0,2,0,0,0,0,0,0,146,39.4,94.7,138.0,27.2,52
2,25,0,0,0,1,0,0,0,0,0,0,0,0.0,11.9,16.0,2.4,53
52,1080,0,0,3,19,0,0,0,1,0,63,0,430.4,0.0,0.0,43.1,54
29,1170,0,0,3,21,0,0,0,4,0,0,0,255.6,208.3,31.0,49.4,55
32,1260,0,1,3,23,1,0,0,1,0,0,0,373.6,37.6,55.0,46.8,56
25,1115,0,0,2,21,0,0,0,1,0,0,0,172.0,118.6,5.0,29.5,57
39,1260,1,0,3,23,0,0,0,1,0,0,0,463.0,48.2,214.0,72.7,58
4,111,0,0,0,3,0,0,0,1,0,0,0,35.0,38.8,16.0,8.6,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60
1,86,0,0,0,1,0,0,0,1,0,0,0,0.0,11.7,2.0,1.3,61
25,920,0,0,2,17,0,0,0,0,0,0,0,94.8,68.1,120.0,28.3,62
32,802,1,1,3,15,0,0,0,2,0,0,0,98.8,163.6,78.0,34.0,63
35,1190,1,1,3,21,0,0,0,4,0,0,0,192.6,53.2,53.0,30.1,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65
5,96,0,0,0,1,0,0,0,0,0,0,0,2.8,8.7,4.0,1.5,66
51,1089,4,1,3,19,0,0,0,0,0,0,0,209.0,121.6,365.0,69.3,67
22,597,1,1,2,9,0,0,0,0,0,0,0,59.8,78.6,135.0,26.9,68
2,13,0,0,0,0,0,0,0,0,0,0,0,0.4,1.0,2.0,0.3,69
10,182,1,0,0,3,0,0,0,1,0,0,0,47.6,46.9,110.0,20.3,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72
57,1260,0,0,7,11,0,0,0,1,0,27,230,192.2,0.0,0.0,19.3,73
0,0,0,0,0,0,0,0,0,0,0,0,150,0.0,0.0,0.0,0.0,74
11,367,0,0,1,4,0,0,0,1,0,0,228,64.6,23.1,46.0,13.3,75
19,555,0,1,1,9,0,0,0,2,0,0,414,105.8,68.7,112.0,28.5,76
60,1260,0,1,7,11,0,0,0,3,0,0,470,278.0,110.5,58.0,44.9,77
60,1253,1,0,7,11,1,0,0,1,0,0,283,260.8,33.6,123.0,41.8,78
0,0,0,0,0,0,0,0,0,0,0,0,185,0.0,0.0,0.0,0.0,79
0,0,0,0,0,0,0,0,0,0,0,0,138,0.0,0.0,0.0,0.0,80
0,0,0,0,0,0,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,81
97,1167,8,3,7,11,0,0,0,2,0,0,476,452.4,445.9,512.0,141.1,82
11,179,0,2,0,4,0,0,0,1,0,0,617,71.4,94.7,32.0,19.8,83
17,455,0,1,1,6,0,0,0,1,0,0,321,97.4,197.4,128.0,42.2,84
0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,85
36,552,3,0,2,8,0,0,0,2,0,0,512,185.8,389.4,175.0,74.7,86
53,1135,0,7,7,10,0,0,0,2,0,0,373,273.6,226.3,146.0,64.6,87
1,9,0,0,0,0,0,0,0,0,0,0,68,0.2,0.0,0.0,0.0,88
0,0,0,0,0,0,0,0,0,0,0,0,209,0.0,0.0,0.0,0.0,89
58,619,3,5,5,3,0,0,0,2,0,0,399,231.0,189.9,193.0,60.5,90
0,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0.0,0.0,91
48,751,3,1,6,2,0,0,0,1,0,0,127,257.8,169.5,243.0,66.8,92
0,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,93
