name,birth_country,years_as_manager
Arsene Wenger,France,20
Eddie Howe,England,4
Sean Dyche,England,4
Antonio Conte,Wales,1
Alan Pardew,England,2
Ronald Koeman,Netherlands,1
Mike Phelan,England,1
Claudio Ranieri,Italy,2
Jurgen Klopp,Germany,1
Pep Guardiola,Spain,1
Jose Mourinho,Portugal,1
Aitor Karanka,Spain,3
Claude Puel,France,1
Mark Hughes,Wales,4
David Moyes,Scotland,1
Bob Bradley,USA,1
Mauricio Pochettino,Argentina,3
Walter Mazzarri,Italy,1
Tony Pullis,Wales,2
Slaven Bilic,Croatia,2
