pid,name,nationality,position
1,Ospina David,Colombia,GKP
2,Cech Petr,Czech Republic,GKP
3,Koscielny Laurent,France,DEF
4,Mertesacker Per,Germany,DEF
5,de Abreu Gabriel Armando,Brazil,DEF
6,Bellerin Hector,Spain,DEF
7,Gibbs Kieran,England,DEF
8,Debuchy Mathieu,France,DEF
9,Jenkinson Carl,England,DEF
10,Monreal Nacho,Spain,DEF
11,Chambers Calum,England,DEF
12,Sanchez Alexis,Chile,MID
13,Walcott Theo,England,MID
14,Ozil Mesut,Germany,MID
15,Cazorla Santiago,Spain,MID
16,Ramsey Aaron,Wales,MID
17,Wilshere Jack,England,MID
18,Oxlade-Chamberlain Alex,England,MID
19,Gnabry Serge,Germany,MID
20,Coquelin Francis,France,MID
21,Iwobi Alex,Nigeria,MID
22,Elneny Mohamed,Egypt,MID
23,Campbell Joel,Costa Rica,MID
24,Xhaka Granit,Switzerland,MID
25,Giroud Olivier,France,FWD
26,Welbeck Danny,England,FWD
27,Sanogo Yaya,France,FWD
28,Asano Takuma,Japan,FWD
29,Boruc Artur,Poland,GKP
30,Federici Adam,Australia,GKP
31,Francis Simon,England,DEF
32,Cook Steve,England,DEF
33,Daniels Charlie,England,DEF
34,Smith Adam,England,DEF
35,Mings Tyrone,England,DEF
36,Ake Nathan,Netherlands,DEF
37,Arter Harry,Ireland,MID
38,Pugh Marc,England,MID
39,Surman Andrew,England,MID
40,O'Kane Eunan,Ireland,MID
41,MacDonald Shaun,Wales,MID
42,Stanislas Junior,England,MID
43,Gosling Dan,England,MID
44,Gradel Max,Cote D'Ivoire,MID
45,Hyndman Emerson,United States,MID
46,Ibe Jordon,England,MID
47,Cook Lewis,England,MID
48,King Joshua,Norway,MID
49,Wilson Callum,England,FWD
50,Rantie Tokelo,South Africa,FWD
51,Grabban Lewis,England,FWD
52,Afobe Benik,Congo,FWD
53,Mousset Lys,France,FWD
54,Heaton Tom,England,GKP
55,Lowton Matthew,England,DEF
56,Mee Ben,England,DEF
57,Ward Stephen,Ireland,DEF
58,Keane Michael,England,DEF
59,Tarkowski James,England,DEF
60,Darikwa Tendayi,Japan,DEF
61,Jones David,England,MID
62,Boyd George,Scotland,MID
63,Arfield Scott,Canada,MID
64,Marney Dean,England,MID
65,Ulvestad Fredrik,Norway,MID
66,Kightly Michael,England,MID
67,Vokes Sam,Wales,FWD
68,Gray Andre,England,FWD
69,Jutkiewicz Lukas,England,FWD
70,Barnes Ashley,Austria,FWD
71,Hennings Rouwen,Germany,FWD
72,Long Chris,England,FWD
73,Courtois Thibaut,Belgium,GKP
74,Begovic Asmir,Bosnia And Herzegovina,GKP
75,Terry John,England,DEF
76,Ivanovic Branislav,Serbia,DEF
77,Azpilicueta Cesar,Spain,DEF
78,Cahill Gary,England,DEF
79,Zouma Kurt,France,DEF
80,Baba Abdul Rahman,Ghana,DEF
81,Miazga Matt,United States,DEF
82,Hazard Eden,Belgium,MID
83,Fabregas Cesc,Spain,MID
84,dos Santos Emboaba Junior Oscar,Brazil,MID
85,Cuadrado Juan,Colombia,MID
86,Borges Da Silva Willian,Brazil,MID
87,Matic Nemanja,Serbia,MID
88,Loftus-Cheek Ruben,England,MID
89,Mikel John Obi,Nigeria,MID
90,Pedro,Spain,MID
91,Traore Bertrand,Burkina Faso,MID
92,Moses Victor,Nigeria,MID
93,Van Ginkel Marco,Netherlands,MID
94,Kenedy,Brazil,MID
95,Kante N'Golo,France,MID
96,Batshuayi Michy,Belgium,FWD
97,Da Silva Costa Diego,Spain,FWD
98,Remy Loic,France,FWD
99,Speroni Julian,Argentina,GKP
100,Hennessey Wayne,Wales,GKP
101,McCarthy Alex,England,GKP
102,Mandanda Steve,France,GKP
103,Tomkins James,England,DEF
104,Dann Scott,England,DEF
105,Ward Joel,England,DEF
106,Kelly Martin,England,DEF
107,Delaney Damien,Ireland,DEF
108,Souare Pape,Senegal,DEF
109,Bolasie Yannick,Congo,MID
110,Puncheon Jason,England,MID
111,Zaha Wilfried,England,MID
112,Jedinak Mile,Australia,MID
113,Ledley Joe,Wales,MID
114,McArthur James,Scotland,MID
115,Mutch Jordon,England,MID
116,Williams Jonathan,Wales,MID
117,Lee Chung-yong,South Korea,MID
118,Cabaye Yohan,France,MID
119,Sako Bakary,Mali,MID
120,Townsend Andros,England,MID
121,Campbell Fraizer,England,FWD
122,Wickham Connor,England,FWD
123,Robles Joel,Spain,GKP
124,Stekelenburg Maarten,Netherlands,GKP
125,Baines Leighton,England,DEF
126,Coleman Seamus,Ireland,DEF
127,Jagielka Phil,England,DEF
128,Stones John,England,DEF
129,Galloway Brendan,England,DEF
130,Browning Tyias,England,DEF
131,Pennington Matthew,England,DEF
132,Funes Mori Ramiro,Argentina,DEF
133,Mirallas Kevin,Belgium,MID
134,Barkley Ross,England,MID
135,Cleverley Tom,England,MID
136,McCarthy James,England,MID
137,Barry Gareth,England,MID
138,Gibson Darron,Ireland,MID
139,Besic Muhamed,Bosnia And Herzegovina,MID
140,Oviedo Bryan,Costa Rica,MID
141,Deulofeu Gerard,Spain,MID
142,Lennon Aaron,England,MID
143,Lukaku Romelu,Belgium,FWD
144,Kone Arouna,Cote D'Ivoire,FWD
145,Niasse Oumar,Senegal,FWD
146,McGregor Allan,Scotland,GKP
147,Jakupovic Eldin,Switzerland,GKP
148,Lenihan Brian,Ireland,DEF
149,Davies Curtis,England,DEF
150,Dawson Michael,England,DEF
151,Odubajo Moses,England,DEF
152,Robertson Andrew,Scotland,DEF
153,Maguire Harry,England,DEF
154,Bruce Alex,Northern Ireland,DEF
155,Snodgrass Robert,Scotland,MID
156,Clucas Sam,England,MID
157,Livermore Jake,England,MID
158,Elmohamady Ahmed,Egypt,MID
159,Diame Mohamed,Senegal,MID
160,Huddlestone Tom,England,MID
161,Meyler David,Ireland,MID
162,Maloney Shaun,Scotland,MID
163,Hernandez Abel,Uruguay,FWD
164,Diomande Adama,Norway,FWD
165,Schmeichel Kasper,Denmark,GKP
166,Zieler Ron-Robert,Germany,GKP
167,Morgan Wes,Jamaica,DEF
168,Fuchs Christian,Austria,DEF
169,Schlupp Jeffrey,Ghana,DEF
