id,gameweek,home_score,away_score,home_team,away_team,home_mgr,away_mgr
1,1,0,1,3,16,Sean Dyche,Bob Bradley
2,1,0,1,5,19,Alan Pardew,Tony Pullis
3,1,1,1,6,17,Ronald Koeman,Mauricio Pochettino
4,1,2,1,7,8,Mike Phelan,Claudio Ranieri
5,1,2,1,10,15,Pep Guardiola,David Moyes
6,1,1,1,12,14,Aitor Karanka,Mark Hughes
7,1,1,1,13,18,Claude Puel,Walter Mazzarri
8,1,3,4,1,9,Arsene Wenger,Jurgen Klopp
9,1,1,3,2,11,Eddie Howe,Jose Mourinho
10,1,2,1,4,20,Antonio Conte,Slaven Bilic
11,2,2,0,11,13,Jose Mourinho,Claude Puel
12,2,2,0,3,9,Sean Dyche,Jurgen Klopp
13,2,0,0,8,1,Claudio Ranieri,Arsene Wenger
14,2,1,4,14,10,Mark Hughes,Pep Guardiola
15,2,0,2,16,7,Bob Bradley,Mike Phelan
16,2,1,0,17,5,Mauricio Pochettino,Alan Pardew
17,2,1,2,18,4,Walter Mazzarri,Antonio Conte
18,2,1,2,19,6,Tony Pullis,Ronald Koeman
19,2,1,2,15,12,David Moyes,Aitor Karanka
20,2,1,0,20,2,Slaven Bilic,Eddie Howe
21,3,3,0,4,3,Antonio Conte,Sean Dyche
22,3,1,1,5,2,Alan Pardew,Eddie Howe
23,3,1,0,6,14,Ronald Koeman,Mark Hughes
24,3,0,1,7,11,Mike Phelan,Jose Mourinho
25,3,2,1,8,16,Claudio Ranieri,Bob Bradley
26,3,1,1,13,15,Claude Puel,David Moyes
27,3,1,1,17,9,Mauricio Pochettino,Jurgen Klopp
28,3,1,3,18,1,Walter Mazzarri,Arsene Wenger
29,3,3,1,10,20,Pep Guardiola,Slaven Bilic
30,3,0,0,19,12,Tony Pullis,Aitor Karanka
31,4,2,1,1,13,Arsene Wenger,Claude Puel
32,4,1,0,2,19,Eddie Howe,Tony Pullis
33,4,1,1,3,7,Sean Dyche,Mike Phelan
34,4,4,1,9,8,Jurgen Klopp,Claudio Ranieri
35,4,1,2,11,10,Jose Mourinho,Pep Guardiola
36,4,1,2,12,5,Aitor Karanka,Alan Pardew
37,4,0,4,14,17,Mark Hughes,Mauricio Pochettino
38,4,2,4,20,18,Slaven Bilic,Walter Mazzarri
39,4,2,2,16,4,Bob Bradley,Antonio Conte
40,4,0,3,15,6,David Moyes,Ronald Koeman
41,5,1,2,4,9,Antonio Conte,Jurgen Klopp
42,5,3,1,6,12,Ronald Koeman,Aitor Karanka
43,5,1,4,7,1,Mike Phelan,Arsene Wenger
44,5,3,0,8,3,Claudio Ranieri,Sean Dyche
45,5,4,0,10,2,Pep Guardiola,Eddie Howe
46,5,4,2,19,20,Tony Pullis,Slaven Bilic
47,5,4,1,5,14,Alan Pardew,Mark Hughes
48,5,1,0,13,16,Claude Puel,Bob Bradley
49,5,1,0,17,15,Mauricio Pochettino,David Moyes
50,5,3,1,18,11,Walter Mazzarri,Jose Mourinho
51,6,3,0,1,4,Arsene Wenger,Antonio Conte
52,6,1,0,2,6,Eddie Howe,Ronald Koeman
53,6,5,1,9,7,Jurgen Klopp,Mike Phelan
54,6,4,1,11,8,Jose Mourinho,Claudio Ranieri
55,6,1,2,12,17,Aitor Karanka,Mauricio Pochettino
56,6,1,1,14,19,Mark Hughes,Tony Pullis
57,6,2,3,15,5,David Moyes,Alan Pardew
58,6,1,3,16,10,Bob Bradley,Pep Guardiola
59,6,0,3,20,13,Slaven Bilic,Claude Puel
60,6,2,0,3,18,Sean Dyche,Walter Mazzarri
61,7,0,1,3,1,Sean Dyche,Arsene Wenger
62,7,1,1,6,5,Ronald Koeman,Alan Pardew
63,7,0,2,7,4,Mike Phelan,Antonio Conte
64,7,0,0,8,13,Claudio Ranieri,Claude Puel
65,7,1,1,11,14,Jose Mourinho,Mark Hughes
66,7,1,1,15,19,David Moyes,Tony Pullis
67,7,1,2,16,9,Bob Bradley,Jurgen Klopp
68,7,2,0,17,10,Mauricio Pochettino,Pep Guardiola
69,7,2,2,18,2,Walter Mazzarri,Eddie Howe
70,7,1,1,20,12,Slaven Bilic,Aitor Karanka
71,8,3,2,1,16,Arsene Wenger,Bob Bradley
72,8,6,1,2,7,Eddie Howe,Mike Phelan
73,8,3,0,4,8,Antonio Conte,Claudio Ranieri
74,8,0,1,5,20,Alan Pardew,Slaven Bilic
75,8,0,0,9,11,Jurgen Klopp,Jose Mourinho
76,8,1,1,10,6,Pep Guardiola,Ronald Koeman
77,8,0,1,12,18,Aitor Karanka,Walter Mazzarri
78,8,3,1,13,3,Claude Puel,Sean Dyche
79,8,2,0,14,15,Mark Hughes,David Moyes
80,8,1,1,19,17,Tony Pullis,Mauricio Pochettino
81,9,0,0,1,12,Arsene Wenger,Aitor Karanka
82,9,0,0,2,17,Eddie Howe,Mauricio Pochettino
83,9,2,1,3,6,Sean Dyche,Ronald Koeman
