total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
96,1980,0,0,10,16,0,0,0,0,0,64,297,2,1
1305,26599,0,2,76,241,1,3,0,3,1,788,1830,10,2
704,15034,15,2,70,173,2,0,0,22,4,0,2064,6,3
543,13201,5,2,57,152,0,0,0,11,2,0,1838,5,4
99,2114,1,1,11,22,0,0,0,3,1,0,317,2,5
249,4803,3,7,25,48,0,0,0,8,0,0,843,3,6
374,8612,2,11,31,106,1,0,0,11,1,0,1177,10,7
143,4603,2,6,10,79,1,0,0,12,2,0,659,4,8
235,6383,3,5,19,89,1,0,0,6,3,0,939,5,9
357,7535,1,7,39,79,0,0,0,8,0,0,1225,4,10
140,3535,1,2,13,52,0,0,0,9,1,0,519,4,11
374,5380,29,13,26,54,0,0,1,5,0,0,1578,2,12
924,13685,55,51,45,148,0,0,0,5,0,0,1856,10,13
440,7034,15,35,39,70,0,0,0,4,0,0,1887,3,14
545,10168,23,35,48,107,0,0,1,10,1,0,2363,4,15
656,12322,28,35,56,132,1,0,0,23,0,0,2202,8,16
308,8017,7,14,27,106,0,0,0,23,2,0,830,8,17
245,4573,7,12,24,61,0,0,0,5,0,0,843,5,18
31,483,1,1,4,6,0,0,0,0,0,0,129,4,19
123,4165,0,2,17,48,0,0,0,12,1,0,616,6,20
42,628,2,2,5,6,0,0,0,0,0,0,150,1,21
25,792,0,1,5,8,0,0,0,3,0,0,134,1,22
58,925,3,2,5,9,0,0,0,0,0,0,180,2,23
584,9691,57,22,48,101,1,0,0,14,2,0,2216,4,25
500,9074,34,24,37,117,0,0,0,12,0,0,1530,8,26
27,536,0,1,0,9,0,0,0,1,0,0,49,3,27
296,7212,0,1,26,105,0,3,0,3,0,190,797,4,29
74,2498,0,0,3,57,0,0,0,0,0,99,214,4,30
89,3386,0,4,6,67,0,0,0,5,1,0,462,1,31
114,3195,4,2,7,63,0,0,0,5,0,0,443,1,32
130,3285,3,5,7,63,0,0,0,2,0,0,491,1,33
85,2115,2,0,6,35,0,0,0,5,0,0,300,3,34
1,11,0,0,0,0,0,0,0,0,0,0,1,1,35
79,1996,1,1,7,26,0,0,0,4,1,0,246,4,36
42,1662,1,0,4,25,0,0,0,7,0,0,188,1,37
66,1337,3,4,3,31,0,0,0,1,0,0,245,1,38
183,5925,4,4,10,121,0,0,0,5,0,0,608,5,39
23,756,0,1,0,20,0,0,0,2,0,0,84,1,40
3,31,0,0,0,1,0,0,0,0,0,0,3,1,41
168,3663,8,6,6,61,0,0,0,4,0,0,217,4,42
173,4037,8,3,5,70,0,0,0,9,1,0,396,7,43
48,891,1,5,4,18,0,0,0,1,0,0,155,1,44
89,1872,1,4,9,31,0,0,0,0,0,0,293,4,46
98,1914,6,3,3,39,0,0,0,1,0,0,321,2,48
