id,name,birth_country,years_as_manager
1,Arsene Wenger,France,20
2,Eddie Howe,England,4
3,Sean Dyche,England,4
4,Antonio Conte,Wales,1
5,Alan Pardew,England,2
6,Ronald Koeman,Netherlands,1
7,Mike Phelan,England,1
8,Claudio Ranieri,Italy,2
9,Jurgen Klopp,Germany,1
10,Pep Guardiola,Spain,1
11,Jose Mourinho,Portugal,1
12,Aitor Karanka,Spain,3
13,Claude Puel,France,1
14,Mark Hughes,Wales,4
15,David Moyes,Scotland,1
16,Bob Bradley,USA,1
17,Mauricio Pochettino,Argentina,3
18,Walter Mazzarri,Italy,1
19,Tony Pullis,Wales,2
20,Slaven Bilic,Croatia,2
